Submission ID,RMSE,MAE,ME,R\textsuperscript{2},m,Kendall's Tau,Unmatched exp. \pKa{}s,"Unmatched pred. \pKa{}s [2,12]"
kxztt,"2.00 [1.13, 2.73]","1.64 [1.00, 2.39]","1.64 [1.00, 2.39]","0.83 [0.01, 0.98]","1.42 [-0.21, 1.99]","0.56 [-0.10, 1.00]",0,38
wexjs,"2.05 [1.18, 2.93]","1.66 [1.01, 2.47]","1.48 [0.63, 2.39]","0.96 [0.55, 0.99]","1.87 [1.54, 2.29]","0.73 [0.20, 1.00]",0,26
z7fhp,"2.14 [1.38, 2.87]","1.80 [1.12, 2.58]","1.28 [0.18, 2.34]","0.78 [0.02, 0.98]","1.71 [-0.41, 2.13]","0.42 [-0.25, 0.95]",0,30
gdqeg,"2.38 [1.97, 2.71]","2.25 [1.74, 2.68]","-1.61 [-2.46, -0.37]","0.10 [0.00, 0.98]","0.31 [-0.60, 1.63]","0.29 [-0.45, 1.00]",0,53
8toyp,"2.63 [1.89, 3.29]","2.34 [1.59, 3.07]","1.78 [0.47, 2.89]","0.82 [0.02, 0.98]","1.94 [-0.06, 2.39]","0.47 [-0.17, 0.95]",0,29
w4z0e,"2.63 [1.81, 3.53]","2.34 [1.67, 3.18]","1.74 [0.46, 2.92]","0.98 [0.55, 1.00]","2.28 [1.52, 2.41]","0.73 [0.20, 1.00]",0,20
arcko,"2.64 [1.23, 3.78]","2.08 [1.10, 3.24]","1.71 [0.44, 3.10]","0.57 [0.04, 0.95]","1.42 [0.56, 2.93]","0.56 [-0.06, 1.00]",0,28
0wfzo,"18.72 [11.21, 25.03]","15.80 [9.9, 22.35]","15.09 [8.28, 22.12]","0.09 [0.01, 0.73]","2.35 [-10.18, 8.12]","0.02 [-0.65, 0.66]",0,12
z3btx,"22.60 [15.03, 29.00]","19.70 [12.97, 26.69]","19.70 [12.97, 26.69]","0.09 [0.01, 0.72]","2.35 [-10.00, 8.28]","0.02 [-0.66, 0.66]",0,7
758j8,"23.76 [16.33, 30.24]","21.00 [14.26, 28.00]","21.00 [14.26, 28.00]","0.09 [0.01, 0.71]","2.35 [-10.34, 8.12]","0.02 [-0.65, 0.65]",0,8
hgn83,"27.91 [20.54, 34.52]","25.60 [18.9, 32.64]","25.60 [18.9, 32.64]","0.09 [0.01, 0.72]","2.35 [-10.21, 8.00]","0.02 [-0.65, 0.65]",0,5
